127.0.0.1 - - [25/Mar/2018:18:38:46 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:38:48 +0700] "GET /BookStore/ HTTP/1.1" 500 327
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:38:49 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:39:11 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:39:15 +0700] "GET /list HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:39:18 +0700] "GET /new HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:41:47 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:41:51 +0700] "GET /list HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:41:53 +0700] "GET /new HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:42:35 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:42:40 +0700] "GET /new HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:42:42 +0700] "GET /list HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:43:54 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:45:01 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:46:27 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:50:43 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:52:59 +0700] "GET /BookStore/BookList.jsp HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:53:02 +0700] "GET /list HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:53:30 +0700] "GET /new HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [25/Mar/2018:18:53:54 +0700] "GET /Bookstore HTTP/1.1" 404 1083
